name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;704;0;681;3069;1886;3069;1662;0
header;629;141;629;175;1873;175;1873;141
A;1487;166;1487;168;1489;168;1489;166
A;1446;309;1446;321;1453;321;1453;309
B;1171;745;1171;763;1184;763;1184;745
A;1605;1111;1605;1115;1609;1115;1609;1111
B;1690;1708;1690;1726;1703;1726;1703;1708
B;1321;1930;1321;1949;1336;1949;1336;1930
A;734;2007;734;2008;736;2008;736;2007
A;1472;2378;1472;2393;1480;2393;1480;2378
A;1734;2932;1734;2932;1734;2932;1734;2932
A;1714;2982;1714;2990;1724;2990;1724;2982
